שם הכלי,קטגוריה / תשמיש,מקור מדויק,ציטוט מתוך המקור,הסבר וביאור הכלי
ספלור,כלי שתייה / משתה,בבלי יומא עה:,ספלור שמו,כלי קטן לשתייה או למדידת משקאות
אספלטון,כלי זכוכית / קוסמטיקה,בבלי שבת סב:,דמאספלטון,צלוחית זכוכית קטנה לבשמים ומשחות
סירייר / צלצול,כלי נגינה / פעמון,משנה כלים י"ד ה',זוג של דלת... פעמון,פעמון קטן המשמיע קול (זוג)
כסכסת,כלי דייג / ציד,משנה כלים ט"ז א',כסכסת של דגים,רשת או כלי סריג עשוי נצרים לציד ושימור דגים
מקלע,כלי טקסטיל / קליעה,משנה כלים כ"ד א',מקלע של ספרין,כלי קלוע או תיקה להחזקת ספרים וגלילות
אספניות,כלי אחסון,משנה כלים ט"ז א',אספניות של עור,תיק עור רחב המשמש לאחסון בגדים או כלי עבודה
כסיסה,כלי חקלאות,משנה כלים כ' ג',כסיסה של קיטניות,כלי עץ או נצרים לסינון וסילוק פסולת מקטניות
מלמד,כלי חקלאות,משנה כלים י"ג ז',מַלְמַד הַבָּקָר שֶׁנִּטַּל הַדָּרְבָן,דרבן מתכת שבקצה המקל להכוונת השור
מחלץ,כלי רפואה / גילוף,משנה כלים י"ג ב',מחלץ של שער,מלקחיים זעירים להוצאת קוצים או שערות
איזמל של מילה,כלי רפואה / מצווה,משנה שבת י"ט ב',מביאין איזמל,סכין קטנה וחדה במיוחד המשמשת למילה
גרגרת,כלי שאיבה / מים,משנה כלים ב me',גרגרת של צינור,משפך או כלי קיבול הלוכד מים ממרזב
קרניים,כלי קיבול / סיכה,שמואל א' ט"ז א',מַלֵּא קַרְנְךָ שֶׁמֶן,קרן חלולה של בהמה המשמשת להחזקת שמן
צפחה,כלי אפייה / בישול,משנה כלים ה' א',צפחה של חרס,מחבת מחוררת או כלי שטוח לאפייה
קנקן של שמן,כלי אחסון,משנה כלים ב' ג',קנקן שטיחה,כלי חרס רחב לאחסון שמן או כבישת זיתים
ברקנים,כלי חקלאות / דיש,שופטים ח' ז',וְדַשְׁתִּי אֶת בְּשַׂרְכֶם... וְאֶת הַבַּרְקָנִים,מוטות עץ המשובצים אבנים חדות או ברזלים לדיש
עריס,כלי טקסטיל / מרושת,משנה כלים כ"ד ג',עריס של קש,מתכן עריגה או סל קלוע מקש
כילה,כלי בית / הגנה,משנה סוכה א me',הַיּוֹשֵׁב בַּכִּילָה,רשת בד דקה הפרוסה מעל המיטה להגנה מזבובים ויתושים
מסננת של יין,כלי סינון,משנה כלים י"ד א',מסננת של יין,כלי מתכת או בד לסינון שמרים מהיין (משמרת)
משמרת,כלי סינון,משנה שבת כ' ב',וּמַסַּנְנִין אֶת הַיַּיִן בַּמַּשְׁמֶרֶת,מסננת בד צפופה להצללת יין
משקולת,כלי מדידה,משנה כלים י"ב א',משקולת של צורפים,אבן או מתכת במשקל מדויק לשקילת זהב וכסף
קנה המאזניים,כלי מדידה,משנה כלים י"ב א',קנה של מאזניים,מוט מתכת או עץ שבראשו תלויות שתי כפות לשקילה
כף המאזניים,כלי מדידה,ישעיהו מ' י"ב,וְשָׁקַל בַּפֶּלֶס הָרִים וּגְבָעוֹת בַּמֹּאזְנָיִם,כלי קיבול שטוח התלוי בקנה המאזניים
פילס,כלי בנייה / מדידה,משלי ה' כ"א,פַּלֵּס מַעְגַּל רַגְלֶךָ,כלי ליישור ומדידת זווית בבנייה (אנך/פלס)
אנך,כלי בנייה,עמוס ז' ז',וְהִנֵּה אֲדֹנָי נִצָּב עַל חוֹמַת אֲנָךְ וּבְיָדוֹ אֲנָךְ,משקולת עופרת הקשורה לחוט לבדיקת אנכיות הקיר
אבן גלילה,כלי כתיבה / גלילה,משנה כלים י"ג ו',אבן של סופרים,אבן מלוטשת להחלקה ויישור הקלף
קערה של ציירים,כלי מלאכה,משנה כלים ב' ג',קערה של ציירים,כלי חרס מחולק לתאים להחזקת צבעים שונים
אלפס שטרם הוסק,כלי בישול,משנה כלים ה' א',אלפס של חרס,סיר חרס לפני שנצרף בכבשן
תנור של חרס,כלי אפייה,שמות י"א ל"ד,וּבְתַנּוּרֶיךָ וּבִמִשְׁאֲרוֹתֶיךָ,מבנה/כלי חרס גלילי הפתוח מלמעלה ולאפיית פיתות ולחם
כירה,כלי בישול,ויקרא י"א ל"ה,תַּנּוּר וְכִירַיִם יֻתָּץ,מתקן חרס או אבן בעל מקום להעמדת שתי קדירות
כופח,כלי בישול,משנה שבת ג' ב',כופח שהסיקוהו,מתקן בישול קטן המיועד לקדירה אחת בלבד
סל של ענבים,כלי חקלאות,משנה כלים ט"ז א',סל של ענבים,סל קלוע לאיסוף ענבים בציר
קערית של סממנין,כלי רפואה / קוסמטיקה,משנה כלים ב' ג',קערית של סממנין,כלי חרס קטן להכנת תרופות ובשמים
חוקה,כלי כתיבה,ישעיהו ל' ח',עַל לוּחַ וְחֻקָּהּ עַל סֵפֶר,כלי או לוח עץ מצופה שעווה לכתיבה
פנכה,כלי אכילה,בבלי פסחים פו:,פנכה של חרס,צלחת חרס רחבה ושטוחה להגשת מאכל
דרכון,כלי מטבע / משקל,בבלי בבא בתרא פט:,דרכמון,מטבע ששימש גם כמשקולת במנהגי המסחר
מכבש,כלי מלאכה,משנה כלים י"ז י',מכבש של כובסין,מתקן עץ להפעלת לחץ וסחיטת בגדים רטובים
מכבש של בית בד,כלי חקלאות / תעשייה,משנה טהרות ע' א',מכבש של בית בד,קורה כבדה וברגים לסחיטת שמן מזיתים
צינור של מרחץ,כלי מים,משנה כלים ה' ח',צינור של מרחץ,צינור חרס/מתכת להזרמת מים חמים
ספל של נטילה,כלי בית,משנה כלים ב' ב',ספל של מים,כלי לרחצת ידים או פנים
קדרה של שחלת,כלי בישול,משנה כלים ב' א',קדרה של שחלת,סיר מחורר בתחתיתו לבישול באדים או סינון
