שם המטבע,ערך / יחס מוניטרי,משקל כסף/זהב (בגרמים),מקור מדויק,ציטוט מתוך המקור,ביאור והרחבה הלכות ושיעורים
פרוטה,יחידת היסוד הקטנה ביותר (1/8 איסר),0.0182 גרם כסף,משנה קידושין א' א',הָאִשָּׁה נִקְנֵית... בִּפְרוּטָה וּבִשְׁוֵה פְרוּטָה,מטבע הנחושת הקטן ביותר. משמש גבול לקידושין דיני גזל ומעשר שני
מסמס,2 פרוטות (1/4 איסר),0.0364 גרם כסף,בבלי בבא מציעא מד:,מסמס שתי פרוטות,מטבע נחושת זעיר המוזכר בש"ס
קונטרנק,רובע פונדיון / 2.5 פרוטות,0.0455 גרם כסף,ירושלמי מעשר שני ד' א',קונטרנק דחמישה פרוטן,מטבע נחושת רומי (Quadrans)
טריסית,3 פרוטות (12/8 איסר),0.0546 גרם כסף,משנה בבא בתרא ה' א',טְרֵיסִית שֶׁל מַעֲשֵׂר שֵׁנִי,מטבע נחושת (Triens)
איסר,8 פרוטות (1/24 דינר),0.146 גרם כסף,משנה מעשר שני ד' ח',הָאִיסָר שְׁמֹנָה פְרוּטוֹת,מטבע נחושת מרכזי (As)
פונדיון,2 איסרים (16 פרוטות / 1/12 דינר),0.291 גרם כסף,משנה שביעית ח' ד',בִּפְוּנְדְיוֹן שֶׁל שְׁבִיעִית,מטבע נחושת רומי (Dupondius)
מעה (גרה),2 פונדיונים (32 פרוטות / 1/6 דינר),0.583 גרם כסף,שמות ל' י"ג / משנה שקלים ב' ד',עֶשְׂרִים גֵּרָה הַשֶּׁקֶל... הַמָּעָה שֵׁשׁ פְּרוּטוֹת,מטבע כסף קטן. נקרא במקרא גרה (20 גרה לשקל המקראי)
טרפעיק / אסתרא,חצי דינר / 3 מעות (96 פרוטות),1.75 גרם כסף,בבלי קידושין יב.,אסתרא עבידה דקיימא,מטבע כסף בשווי חצי זוז
דינר / זוז (כסף),6 מעות (192 פרוטות / 1/4 סלע),3.5 גרם כסף,בבלי בבא מציעא מ"ד.,הַזּוּז קוֹנֶה אֶת הַזָּהָב,מטבע הכסף הבסיסי. 4 דינרים = סלע 200 זוז = כתובת בתולה
מחצית השקל (בקע),2 דינרים / 2 זוזים (384 פרוטות),7.0 גרם כסף,שמות ל' ט"ו / משנה שקלים א' א',מַחֲצִית הַשָּׁקֶל בְּשֶׁקֶל הַקֹּדֶשׁ,חיוב זכר למחצית השקל ומס הגולגולת במקדש
סלע / שקל צורי,4 דינרים / זוזים (768 פרוטות),14.0 גרם כסף,שמות כ"א ל"ב / משנה שקלים א' א',שְׁלֹשִׁים שְׁקָלִים כֶּסֶף יִתֵּן... מַשְׁמִיעִין עַל הַשְּׁקָלִים,יחידת יסוד של כסף טהור למצוות (פדיון הבן = 5 סלעים / 70 גרם כסף)
פרוטה חורתא,פרוטה לבנה (כסף זעיר),0.0182 גרם כסף (בקירוב),בבלי בבא בתרא יא.,פרוטה חורתא,מטבע כסף זעיר מאד השווה בערכו לפרוטת נחושת
קשיטה,מטבע/משקל מקראי קדום,לא מוגדר (משקל קדום),בראשית ל"ג י"ט / בבא בתרא ה.,בְּמֵאָה קְשִׂיטָה... אמר רב חסדא מרגניתא,מטבע או מרגלית שקנה בה יעקב את חלקת השדה
אדרכון / דרכמון,מטבע זהב מקראי (כ-2.5 סלעים),8.4 גרם זהב,עזרא ח' כ"ז / דברי הימים א' כ"נ ז',וַאֲדַרְכֹנִים זָהָב אָלֶף,מטבע זהב פרסי עתיק (דריכוס)
דרכמון (יווני),מטבע כסף יווני (דראכמה),3.4 גרם כסף,ירושלמי שקלים ב' ד',דרכמונים של זהב,מטבע שהיה בשימוש בארץ ישראל בתקופה ההלניסטית
דינר זהב (זהוב),25 דינרי כסף (100 מעות),4.25 גרם זהב,משנה מעשר שני ד' ז',הַזָּהָב קוֹנֶה אֶת הַכֶּסֶף... דִּינַר זָהָב בְּעֶשְׂרִים וַחֲמִשָּׁה דִינַר כֶּסֶף,מטבע הזהב העיקרי בחז"ל (Aureus / Solidus)
דריכון,מטבע זהב מדרשי,4.25 גרם זהב,מדרש תנחומא נשא,נתן לו דריכון אחד,מטבע זהב המופיע במדרשי חז"ל
אספר,מטבע כסף/נחושת ביזנטי,ערך משתנה,ירושלמי שקלים ב' א',כד סלקת איספרה,מטבע קטן בתקופה הביזנטית המוזכר בירושלמי
נומיסמה,מטבע זהב ביזנטי,4.5 גרם זהב,פסיקתא דשמעוני / ירושלמי,נומיסמא דדהבא,מטבע הזהב הרשמי של הקיסרות הביזנטית (Solidus)
אנגריא,מטבע מס / זהב,משתנה,ירושלמי תענית ד' ה',אנגריא דדהבא,מטבע שנגבה כמס מלכות
מנה,100 דינרים / זוזים (25 סלעים),350 גרם כסף,משנה פאה ח' ח' / מדרש רבה,מִי שֶׁיֵּשׁ לוֹ מָאֲתַיִם זוּז לֹא יִטּוֹל... מָנֶה,יחידת מניין מוניטרית. 2 מנה = 200 זוז (כתובת בתולה / קצבת עני)
מנה של קודש,כפול ממנה חול (200 דינרים),700 גרם כסף,בבלי בכורות נ.,מנה של קודש כפול היה,חשבון מנה של בית המקדש שהיה כפול
ככר (חול),60 מנה (6,000 דינרים / 1,500 סלעים),21.0 ק"ג כסף,שמות ט"ו כ"ה / משנה שקלים ג' ב',כִּכַּר כֶּסֶף / תּוֹרְמִין אֶת הַלִּשְׁכָּה,יחידת המשקל והמטבע הגדולה ביותר במקרא ובחז"ל
ככר של קודש,כפול מככר חול (120 מנה / 12,000 דינרים),42.0 ק"ג כסף,בבלי בכורות נ.,כל משקלי הקודש כפולים היו,מידת הככר ששימשה לבניין המשכן והמקדש
