חודש,תאריך,המאורע / הסיפור,מקור מדויק,ציטוט מתוך המקור,הסבר קצר
ניסן,ז' בניסן,אבל בני ישראל על משה,"סדר עולם רבה, י'","בשבעה בניסן נשלמו שלושים ימי הבכי של משה",סיום ימי האבל בערבות מואב
ניסן,ז' בניסן,שליחת המרגלים ליריחו,"יהושע ב', א' / סדר עולם","בשבעה בניסן שלח יהושע בן נון שני אנשים מרגלים",יהושע שולח את כלב ופינחס לתור את יריחו
ניסן,ח' בניסן,תחילת חנוכת המשכן (שבעת ימי המילואים),"סדר עולם רבה, ז'","באיחד בניסן הוקם המשכן... בכ"ג באדר התחילו ימי המילואים / בראשי חדשים",תחילת הקרבת הנשיאים והכשרת הכהנים
אייר,א' באייר,תחילת בניין בית המקדש הראשון,"מלכים א' ו', א'","בַּשָּׁנָה הָאַרְבָּעִית בַּחֹדֶשׁ הַזִּיו הוּא הַחֹדֶשׁ הַשֵּׁנִי... וַיִּבֶן הַבַּיִת",שלמה המלך מתחיל לבנות את המקדש
סיון,ג' בסיון,תחילת שלושת ימי ההגבלה,"שמות י"ט, י'-יא' / בבלי, שבת פו.","וְקִדַּשְׁתָּם הַיּוֹם וּמָחָר... וְהָיוּ נְכֹנִים לַיּוֹם הַשְּׁלִישִׁי",הכנת בני ישראל לקבלת התורה בהר סיני
סיון,י"ז בסיון,נחיתת התיבה על הרי אררט,"בראשית ח', ד' / בבלי, ראש השנה יא.","וַתָּנַח הַתֵּבָה בַּחֹדֶשׁ הַשְּׁלִישִׁי בְּשִׁבְעָה-עָשָׂר יוֹם... עַל הָרֵי אֲרָרָט",שכיכת מי המבול ותחילת ניתוח הארץ
תמוז,כ"ט בתמוז,חזרת המרגלים מתוכן הארץ,"תנחומא, שלח ז' / בבלי, תענית כט.","ארבעים יום הלכו המרגלים... וחזרו בכ"ט בתמוז",שובם של המרגלים עם אשכול הענבים
אב,י"ז באב,ביטול יום טוב של בני עלי,"מגילת תענית, אב","בשבעת עשר באב נטלו בני עלי את הארון",נפילת ארון אלקים בידי פלשתים
אלול,ז' באאלול,יום טוב על שזכו לחומה,"מגילת תענית, אלול","בשבעה באלול יומא דמתקן לחומה",יום טוב שנקבע בימי בית שני
תשרי,ז' בתשרי,חנוכת חומת ירושלים בימי נחמיה,"נחמיה י"ב / מדרש שיר השירים","בשבעה בתשרי חנכו את החומה בשמחה",חגיגת סיום ביצור העיר
תשרי,ח' בתשרי,תחילת ימי חנוכת המקדש הראשון,"בבלי, מועד קטן ט.","עשו ימי המילואים שבעת ימים לפני החג",שבעת ימי השמחה שהיו לפני סוכות
חשון,ז' בחשון,תחילת שאלת גשמים בארץ ישראל,"משנה, תענית א', ב'","בשבעה בחשון שואלין את הגשמים",זמן שבו אחרון עולי הרגל מגיע לנהר פרת
חשון,י"א בחשון,פטירת רחל אמנו,"פסיקתא רבתי / מדרש אגדה","בי"א בחשון מתה רחל בדרך אפרת",פטירת רחל בלידת בנימין
כסלו,ז' בכסלו,יום טוב על מות הורדוס המלך,"מגילת תענית, כסלו","בשבעה בכסלו יומא טבא",ביטול גזירותיו של הורדוס
טבת,כ"ח בטבת,ביטול משפט צדוקים והודאת חכמים,"מגילת תענית, טבת","בעשרים ושמנה בטבת יתביב סנהדרין",ניצחון שמעון בן שטח על הצדוקים
שבט,כ"ג בשבט,התקבצות השבטים למלחמת גבעה,"שופטים כ' / סדר עולם","בעשרים ושלושה בשבט נקהלו כל ישראל על בני בנימין",מעשה פילגש בגבעה והמלחמה
אדר,א' באדר,משמיעין על השקלים ועל הכלאיים,"משנה, שקלים א', א'","באחד באדר משמיעין על השקלים ועל הכלאיים",הכרזה על מחצית השקל וניקוי השדות
אדר,ח' באדר,יום טוב על ביטול גזירת הגשמים,"מגילת תענית, אדר","בשמונה באדר הוו מתעניין על מטרא ואתא",נס ירידת הגשמים בימי חכמים
