צבע / גוון,קטגוריה,הקשר / נושא,מקור מדויק,ציטוט מתוך המקור,ביאור והרחבה
אדום,תנ"ך,מאכל ודמות,בראשית כ"פ ל',וַיֹּאמֶר עֵשָׂו אֶל-אַעֲקֹב הַלְעִיטֵנִי נָא מִן-הָאָדֹם הָאָדֹם הַזֶּה... עַל-כֵּן קָרָא-שְׁמוֹ אֱדוֹם,תיאור התבשיל והאדמומיות של עשיו
אדום,תנ"ך,נגעי צרעת,ויקרא י"ג י"ט,וְהָיָה בִּמְקוֹם הַשְּׁחִין שְׂאֵת לְבָנָה אוֹ בַהֶרֶת לְבָנָה אֲדַמְדַּמֶּת,ערבוב של אדום ולבן בנגע השאת או הבהרת
אדום,תנ"ך,פרה אדומה,במדבר י"פ ב',וְיִקְחוּ אֵלֶיךָ פָרָה אֲדֻמָּה תְּמִימָה אֲשֶׁר אֵין-בָּהּ מוּם,חובת אדמומיות מוחלטת בפרה אדומה
אדום,תנ"ך,מראות מלחמה,נחום ב' ה',מָגֵן גִּבֹּרֵיהוּ מְאָדָם אַנְשֵׁי-חַיִל מְתֻלָּעִים,תיאור צבע המגנים של הלוחמים
אדום,תנ"ך,מראה יין,משלי כ"ג ל',אַל-תֵּרֶא יַיִן כִּי יִתְאַדָּם כִּי-יִתֵּן בַּכּוֹס עֵינוֹ,אזהרה מפני השתכרות עקב יופיו של היין האדום
אדום,משנה,מראות דם,משנה נידה י' ז',חֲמִשָּׁה דְמָאִים טְמֵאִים בָּאִשָּׁה: הָאָדֹם וְהַשָּׁחֹר...,הגדרת גוון הדם האדום המטמא
אדום,בבלי,פרה אדומה,בבלי עבודה זרה כ"ד:,שתי שערות שחורות או לבנות פוסלות בפרה אדומה,הלכה שאפילו שתי שערות שאינן אדומות פוסלות
אדום,ירושלמי,צבעי יין,ירושלמי שקלים ג' ב',חמר אדום כדכתיב אל תרא יין כי יתאדם,דיון על עדיפות יין אדום לנסכים ולמצוות
אדמדם / ורוד,תנ"ך ושרשים,מראה פנים וגוף,שיר השירים ה' י' / מצודת ציון,דּוֹדִי צַח וְאָדוֹם דָּגוּל מֵרְבָבָה,ערבוב של לובן ואדמומיות הזוהר בפנים
אפור / אפרור,מדרש ומפרשים,אפר ואבל,פסיקתא דרב כהנא / רש"י אסתר,וַיִּלְבַּשׁ שַׂק וָאֵפֶר,צבע האפר המשמש כסמל לאבלות וכלימון
ארגמן,תנ"ך,משכן ומקדש,שמות כ"ו א',וְאֶת-הַמִּשְׁכָּן תַּעֲשֶׂה... תְּכֵלֶת וְאַרְגָּמָן וְתוֹלַעַת שָׁנִי,מצבעי היריעות ובגדי הכהונה
ארגמן,תנ"ך,בגדי שרים,שופטים ח' כ"ו,וּלְבַד מִבִּגְדֵי הָאַרְגָּמָן שֶׁעֲלֵיהֶם מַלְכֵי מִדְיָן,בגדי המלכות של מלכי מדין
ארגמן,ירושלמי,עמידות צבע,ירושלמי יומא ג' ב',לובן ארגמן שאינו עובר ציבונין,דיון על איכות הארגמן
זהוב / פז,תנ"ך ומדרש,מראה כבוד וזהב,תהילים ס"ח י"ד / מדרש שוחר טוב,אֶבְרֵי יוֹנָה נֶחְפָּה בַכֶּסֶף וְאֶבְרוֹתֶיהָ בִּירַקְרַק חָרוּץ,גוון הזהב הנוטה לירוק-צהוב מבריק
חור,תנ"ך,בגדי שררה,אסתר ח' ט"ו,בִּלְבוּשׁ מַלְכוּת תְּכֵלֶת וָחוּר,בד לבן צחור ויוקרתי
חור,בבלי,ביאור הלשון,בבלי בבא בתרא צ"ד.,חיוורא – לבן נקי,הגדרת המונח בארמית
חום,תנ"ך,צאן יעקב,בראשית ל' ל"ב,וְכָל-שֵׂה-חוּם בַּכְּשָׂבִים וְטָלוּא וְנָקֹד,צבע כבשים כהה
חום,מדרש,פירוש המילה,בראשית רבה ע"ג,חום – אוכף שהוא שחור כהה,חז"ל מסבירים שחום הוא גוון כהה של שחור/אדום
חוור (לבן-חיוור),תנ"ך ומפרשים,פחד ובושה,ישעיהו כ"ט כ"ב / רד"ק,לֹא עַתָּה יֵבוֹשׁ יַעֲקֹב וְלֹא עַתָּה פָּנָיו יֶחֱוָרוּ,הלבנת הפנים מבושה או מפחד
חלמוני (צהוב-חלמון),ש"ס ומפרשים,מראות דם,בבלי נידה י"ט: / רש"י,כחלחל וכחלמון ביצה,גוון צהוב כחלמון הביצה (שהוסכם שטהור)
חשמל (זהב-פלאי / זהר),תנ"ך ומפרשים,מראה הנבואה,יחזקאל א' ד' / רש"י,וְנֹגַהּ לוֹ סָבִיב וּמִתּוֹכָהּ כְּעֵין הַחַשְׁמַל,צבע זוהר של אש וזהב במראות יחזקאל
ירוק / ירק,תנ"ך,בריאת העולם,בראשית א' ל',אֶת-כָּל-יֶרֶק עֵשֶׂב לְאָכְלָה,צמחיית הארץ שניתנה למאכל
ירוק / ירק,תנ"ך,נגעי צרעת,ויקרא י"ג מ"פ,וְהָיָה הַנֶּגַע יְרַקְרַק אוֹ אֲדַמְדַּם בַּבֶּגֶד,גוון ירוק עז החוזר על עצמו בבגדים ובתים
ירוק / ירק,משנה,מראות נגעים,משנה נגעים א' ב',יְרַקְרַק שֶׁבִּירֻקִים כִּכְנַף טַוָּוס,הגדרת הירוק העז ביותר (כולל צהוב-זהוב)
ירוק / ירק,בבלי,השפעה נפשית,בבלי ברכות מ"ד:,מראה ירוק משיב את הדעת,השפעה מרגיעה של הגוון הירוק
ירוק ככרתי (ירוק-כהה),ש"ס ומשנה,מראות אתרוג ונגעים,משנה סוכה ג' ו' / בבלי ברכות נ"ז.,ירוק ככרתי כשר... אתרוג הירוק ככרתי,גוון ירוק כהה כחציר/כרישה (חז"ל מזהים ירוק לעיתים גם כצהוב)
כרכום,תנ"ך,בשמים,שיר השירים ד' י"ד,נֵרְדְּ וְכַרְכֹּם קָנֶה וְקִנָּמוֹן,פרח בשם שצבעו צהוב-כתום
כרכום,משנה,מראות דם,משנה נידה ב' ו',וכקרן כרכום - כקרום שלה,גוון צהוב-כתום המשמש מדד להלכה
לבן,תנ"ך,נגעי צרעת,ויקרא י"ג ד',וְאִם-בַּהֶרֶת לְבָנָה הִיא בְּעוֹר בְּשָׂרוֹ... וּשְׂעָרָהּ לֹא-הָפַךְ לָבָן,לובן הבהרת והפיכת השיער ללבן כסימן טומאה
לבן,תנ"ך,טהרה ממחילה,ישעיהו א' י"ח,אִם-יִהְיוּ חֲטָאֵיכֶם כַּשָּׁנִים כַּשֶּׁלֶג יַלְבִּינוּ,הלובן כסמל לניקוי מעוונות
לבן,תנ"ך,מראה המן,שמות ט"ז ל"א,וְהוּא כְּזֶרַע גַּד לָבָן וְטַעְמוֹ כְּצַפִּיחִת בִּדְבָשׁ,תיאור הגוון של המן במדבר
לבן,משנה,בגדי כהונה,משנה יומא ג' ו',בַּשַּׁחַר הָיָה לוֹבֵשׁ שֵׁשׁ שֶׁל פְּלוּסִין... בֵּין הָעַרְבַּיִם לָבַשׁ שֵׁשׁ שֶׁל הִנְדּוֹיִין,בגדי הלבן של הכהן הגדול ביום הכיפורים
לבן,בבלי,דרגות לובן,בבלי שבועות ו'.,מראות נגעים שנים שהן ארבע... שאת כצמר לבן בהרת כשלג,חז"ל מגדירים דרגות שונות של צבע לבן
סגול-ארגמן (נופך / אחלמה),תנ"ך ומפרשים,אבני החושן,שמות רבתי / פירוש רבנו בחיי שמות כ"ח,הנפך צבעו כרמון... והאחלמה תרצה צבעה ארגמן,תיאור גווני אבני החושן על פי המפרשים
צהוב,תנ"ך,נגעי צרעת,ויקרא י"ג ל',וּבוֹ שֵׂעָר צָהֹב דַּק וְטִמֵּא אֹתוֹ הַכֹּהֵן,שיער צהוב בנגע הנתק המטמא
צהוב,משנה,הלכות נגעים,משנה נגעים י' א',שֵׂעָר צָהֹב דַּק טָמֵא שֵׂעָר צָהֹב עָבֶה טָהוֹר,הבחנה בין עובי השיער הצהוב
צהוב,בבלי,נגעי צרעת,בבלי בכורות מ'.,צהוב כזהב,חז"ל מגדירים את הגוון הצהוב כדומה לזהב
צחור,תנ"ך,שירת דבורה,שופטים ה' י',רֹכְבֵי אֲתֹנוֹת צְחֹרוֹת,אתונות לבנות ובוהקות
צחור,בבלי,הגדרת לובן,בבלי יומא פ"ד.,מראה צחור – לובן מבריק,תיאור לובן בוהק במיוחד
פתוח (תערובת צבעים),תנ"ך ומפרשים,נגעי צרעת,ויקרא י"ג י"פ / רש"י,אוֹ בַהֶרֶת לְבָנָה אֲדַמְדַּמֶּת - מְפֹתַחַת,תערובת אדום ולבן המעורבים זה בזה
שחור,תנ"ך,יופי ודימוי,שיר השירים א' ה',שְׁחוֹרָה אֲנִי וְנָאָוָה בְּנוֹת יְרוּשָׁלָםִ,תיאור היופי במגילת שיר השירים
שחור,תנ"ך,נגעי צרעת,ויקרא י"ג ל"א,וְשֵׂעָר שָׁחֹר אֵין בּוֹ וְהִסְגִּיר הַכֹּהֵן,שיער שחור בנגע הנתק כסימן טהרה
שחור,משנה,מראות דם,משנה נידה י' ז',הָאָדֹם וְהַשָּׁחֹר,גוון שחור בדם נידה שמקורו בדם אדום שהלקו
שחור,בבלי,אבחון צבעים,בבלי נידה י"פ.,שחור כחרת... אמר רבה שחור כזיתי,פירוט גווני השחור המטמאים
שחור כעורב,תנ"ך,מראה השיער,שיר השירים ה' י"א,קְווּצֹתָיו תַּלְתַּלִים שְׁחֹרוֹת כָּעוֹרֵב,תיאור שיער שחור כהה ומבריק
שחור-אדום (כחמץ),תנ"ך,יין מקולקל,משלי כ"ג ל"א,כִּי יִתֵּן בַּכּוֹס עֵינוֹ יִתְהַלֵּךְ בְּמֵישָׁרִים,יין שהחמיץ ושינה צבעו
שחור-אדום (כחמץ),משנה,מראות דם,משנה נידה ה' ז',וכמימי אדמה וכיין המזוג וכמוזג,הגדרת צבעים שונים של אדום-חום
שחור-פחם,מדרש,מראות גיהנום,אבות דרבי נתן / מדרש תנחומא,חושך שחור כפחם,גוון שחור מוחלט ללא אור
שני / תולעת שני,תנ"ך,חבל הצלה,יהושע ב' י"ח,אֶת-תִּקְוַת חוּט הַשָּׁנִי הַזֶּה תִּקְשְׁרִי בַּחַלּוֹן,החוט האדום של רחב
שני / תולעת שני,תנ"ך,טהרת מצורע,ויקרא י"ד ד',וְלָקַח לַמִּטַהֵר שְׁתֵּי-צִפֳּרִים חַיּוֹת... וּשְׁנִי תוֹלַעַת,מרכיב בטהרת המצורע ובית המנוגע
שני / תולעת שני,משנה,נס יום הכיפורים,משנה יומא ו' ח',וְהָיוּ קוֹשְׁרִין לָשׁוֹן שֶׁל זְהוֹרִית... וְכֵיוָן שֶׁהִגִּיעַ שָׂעִיר לַמִּדְבָּר הָיָה מַלְבִּין,חוט הזהורית שהלבין כסימן למחילה
שש,תנ"ך,בגדי יוסף,בראשית מ"א מ"ב,וַיַּלְבֵּשׁ אֹתוֹ בִּגְדֵי-שֵׁשׁ,בד פשתן לבן ומשובח
שש,משנה,בגדי מקדש,משנה יומא ג' ז',בגדי שש של כהן גדול,שימוש בשש לבן בעבודת יום הכיפורים
שש (לבן-שן),תנ"ך ומפרשים,עמודי שיש,אסתר א' ו' / רד"ק,עַמּוּדֵי שֵׁשׁ... עַל רִצְפַת בַּהַט וָשֵׁשׁ וְדַר וְסֹחָרֶת,שיש לבן וצבעי אבנים יקרות ברצפת ארמון אחשורוש
שרק,תנ"ך,נבואה,זכריה א' ח',וְאַחֲרָיו סוּסִים אֲדֻמִּים שְׂרֻקִים וּלְבָנִים,סוסים בגוון אדום-זהוב
שרק,בבלי,פירוש הגוון,בבלי פסחים נ"ד.,שרוקים – אדום מעורב,גוון אדמדם בהיר
תכלת,תנ"ך,מקדש וציצית,במדבר ט"ו ל"ח,וְנָתְנוּ עַל-צִיצִת הַכָּנָף פְּתִיל תְּכֵלֶת,ציווי התכלת בציצית
תכלת,תנ"ך,בגדי מלכות,אסתר ה' ח',וּמָרְדֳּכַי יָצָא... בִּלְבוּשׁ מַלְכוּת תְּכֵלֶת וָחוּר,צבע בגדי חשיבות ומלכות
תכלת,בבלי,מקור הצבע,בבלי מנחות דף מ"ד.,חלזון זהו גופו דומה לים וברייתה דומה לדג,מקור צבע התכלת מחלזון הים
תכלת,בבלי,סגולה רוחנית,בבלי מנחות דף מ"ג:,תכלת דומה לים וים דומה לרקיע ורקיע לכיסא הכבוד,הקשר בין צבע התכלת לקדושה
תכלת-כחול (אבן ספיר),תנ"ך ומדרש,כסא הכבוד,שמות כ"ד י' / שמות רבה כ"ג,וַיִּרְאוּ אֵת אֱלֹהֵי יִשְׂרָאֵל וְתַחַת רַגְלָיו כְּמַעֲשֵׂה לִבְנַת הַסַּפִּיר,מראה אבן הספיר שצבעה כעין התכלת והזכוכית הטהורה
תרשיש (ירוק-ים / פירוז),תנ"ך ומפרשים,אבני החושן וגלגלים,דניאל י' ו' / אבן עזרא,וּגְוִיָּתוֹ כְתַרְשִׁישׁ וּפָנָיו כְּמַרְאֵה בָרָק,צבע ירוק-כחול שקיים באבן התרשיש
